date,GSM.ID,nest.treatment,notes
07/28/2022,10,intact,egg shell membranes
07/28/2022,3,destroyed,"no eggs, no evidence of hatch"
07/28/2022,2,destroyed,"renested nearby and destroyed again in early June; no eggs, no evidence of hatch"
07/28/2022,9,destroyed,"renested nearby and destroyed again in early June; no eggs, no evidence of hatch"
07/28/2022,13,intact,"failed; 3 eggs all cold, one out of nest"
07/28/2022,4,destroyed,"no eggs, no evidence of hatch"
07/28/2022,14,destroyed,"no eggs, no evidence of hatch"
07/28/2022,1,intact,1 egg shell membrane and 2 cold eggs
07/28/2022,7,intact,"no eggs, no evidence of hatch; lots of poo shots around nest"
07/28/2022,12,intact,"no eggs, no evidence of hatch"
07/28/2022,8,destroyed,"no eggs, no evidence of hatch"
07/28/2022,11,destroyed,"renested nearby and destroyed again in early June; no eggs, no evidence of hatch"
07/28/2022,15,destroyed,"no eggs, no evidence of hatch"
07/28/2022,6,intact,"no eggs, no evidence of hatch"
07/28/2022,5,intact,small egg shell fragment